model,scope,semantic_name,raw_name,value,default,min,max,transferability
DJI Air 3,per_aircraft_calibration_or_bias_state,imu_cali_1.acc_gyro[1].gyro_temp,imu_cali_1.acc_gyro[1].gyro_temp,0,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3,per_aircraft_calibration_or_bias_state,imu_cali_1.acc_gyro[1].state,imu_cali_1.acc_gyro[1].state,0,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3,per_aircraft_calibration_or_bias_state,imu_cali_1.acc_gyro[1].temp_ready,imu_cali_1.acc_gyro[1].temp_ready,0,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3,per_aircraft_calibration_or_bias_state,imu_cali_2.acc_gyro[2].acc_temp,imu_cali_2.acc_gyro[2].acc_temp,0,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3,per_aircraft_calibration_or_bias_state,imu_cali_2.acc_gyro[2].cali_cnt,imu_cali_2.acc_gyro[2].cali_cnt,0,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3,per_aircraft_calibration_or_bias_state,imu_cali_2.acc_gyro[2].gyro_temp,imu_cali_2.acc_gyro[2].gyro_temp,0,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3,per_aircraft_calibration_or_bias_state,imu_cali_2.acc_gyro[2].state,imu_cali_2.acc_gyro[2].state,0,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3,per_aircraft_calibration_or_bias_state,imu_cali_2.acc_gyro[2].temp_ready,imu_cali_2.acc_gyro[2].temp_ready,0,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3,calibration_control_or_health_rule,imu_cali_exit_0,imu_cali_exit_0,0,0,0,127,Calibration command/status gate/health rule; not a calibration coefficient
DJI Air 3,calibration_control_or_health_rule,imu_cali_exit_1,imu_cali_exit_1,0,0,0,127,Calibration command/status gate/health rule; not a calibration coefficient
DJI Air 3,calibration_control_or_health_rule,imu_cali_exit_2,imu_cali_exit_2,0,0,0,127,Calibration command/status gate/health rule; not a calibration coefficient
DJI Air 3,per_aircraft_calibration_or_bias_state,imu_cali_ui.all_gyr_acc.r[0],imu_cali_ui.all_gyr_acc.r[0],0,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3,per_aircraft_calibration_or_bias_state,imu_cali_ui.all_gyr_acc.r[1],imu_cali_ui.all_gyr_acc.r[1],0,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3,per_aircraft_calibration_or_bias_state,imu_cali_ui.all_gyr_acc.r[2],imu_cali_ui.all_gyr_acc.r[2],0,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3,model_sensor_geometry,imu_gps_1_rtk_gps_offset_a_x,imu_gps_1_rtk_gps_offset_a_x,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,model_sensor_geometry,imu_gps_1_rtk_gps_offset_a_y,imu_gps_1_rtk_gps_offset_a_y,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,model_sensor_geometry,imu_gps_1_rtk_gps_offset_a_z,imu_gps_1_rtk_gps_offset_a_z,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,model_sensor_geometry,imu_gps_1_rtk_gps_offset_b_x,imu_gps_1_rtk_gps_offset_b_x,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,model_sensor_geometry,imu_gps_1_rtk_gps_offset_b_y,imu_gps_1_rtk_gps_offset_b_y,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,model_sensor_geometry,imu_gps_1_rtk_gps_offset_b_z,imu_gps_1_rtk_gps_offset_b_z,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,model_sensor_geometry,imu_gps_2_rtk_gps_offset_a_x,imu_gps_2_rtk_gps_offset_a_x,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,model_sensor_geometry,imu_gps_2_rtk_gps_offset_a_y,imu_gps_2_rtk_gps_offset_a_y,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,model_sensor_geometry,imu_gps_2_rtk_gps_offset_a_z,imu_gps_2_rtk_gps_offset_a_z,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,model_sensor_geometry,imu_gps_2_rtk_gps_offset_b_x,imu_gps_2_rtk_gps_offset_b_x,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,model_sensor_geometry,imu_gps_2_rtk_gps_offset_b_y,imu_gps_2_rtk_gps_offset_b_y,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,model_sensor_geometry,imu_gps_2_rtk_gps_offset_b_z,imu_gps_2_rtk_gps_offset_b_z,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,model_sensor_geometry,lida_x,lida_x,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,model_sensor_geometry,lida_y,lida_y,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,model_sensor_geometry,lida_z,lida_z,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,per_aircraft_calibration_or_bias_state,mass_center_calibrated,mass_center_calibrated,0,0,0,1,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3,calibration_control_or_health_rule,mass_center_collecting_time_s,mass_center_collecting_time_s,15,15,2,255,Calibration command/status gate/health rule; not a calibration coefficient
DJI Air 3,model_sensor_geometry,uwb1_x,uwb1_x,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,model_sensor_geometry,uwb1_y,uwb1_y,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,model_sensor_geometry,uwb1_z,uwb1_z,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,model_sensor_geometry,uwb2_x,uwb2_x,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,model_sensor_geometry,uwb2_y,uwb2_y,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,model_sensor_geometry,uwb2_z,uwb2_z,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,model_sensor_geometry,uwb3_x,uwb3_x,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,model_sensor_geometry,uwb3_y,uwb3_y,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3,model_sensor_geometry,uwb3_z,uwb3_z,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3S,calibration_control_or_health_rule,acc_fdi_open_bias,acc_fdi_open_bias,1,1,0,1,Calibration command/status gate/health rule; not a calibration coefficient
DJI Air 3S,calibration_control_or_health_rule,acc_fdi_open_bias_check_after_heat,acc_fdi_open_bias_check_after_heat,0,0,0,1,Calibration command/status gate/health rule; not a calibration coefficient
DJI Air 3S,calibration_control_or_health_rule,acc_fdi_open_cali_err,acc_fdi_open_cali_err,1,1,0,1,Calibration command/status gate/health rule; not a calibration coefficient
DJI Air 3S,model_sensor_geometry,antenna_gps1_2_x,antenna_gps1_2_x,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3S,model_sensor_geometry,antenna_gps1_2_y,antenna_gps1_2_y,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3S,model_sensor_geometry,antenna_gps1_2_z,antenna_gps1_2_z,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3S,model_sensor_geometry,antenna_gps1_x,antenna_gps1_x,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3S,model_sensor_geometry,antenna_gps1_y,antenna_gps1_y,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3S,model_sensor_geometry,antenna_gps1_z,antenna_gps1_z,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3S,per_aircraft_calibration_or_bias_state,compass0.cali_step,compass0.cali_step,0,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3S,per_aircraft_calibration_or_bias_state,compass0.status_data,compass0.status_data,4,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3S,per_aircraft_calibration_or_bias_state,device_gyr_acc.busy.cali_cnt,device_gyr_acc.busy.cali_cnt,0,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3S,calibration_control_or_health_rule,fscap_imu_propeller_cali_enable,fscap_imu_propeller_cali_enable,0,0,0,8,Calibration command/status gate/health rule; not a calibration coefficient
DJI Air 3S,per_aircraft_calibration_or_bias_state,g_cfg_debug.imu_cali_state[1][1],g_cfg_debug.imu_cali_state[1][1],0,0,0,127,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3S,per_aircraft_calibration_or_bias_state,g_cfg_debug.imu_cali_state[2][1],g_cfg_debug.imu_cali_state[2][1],0,0,0,127,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3S,calibration_control_or_health_rule,g_config.cali_switch.imu_propeller_cali,imu_propeller_cali|g_config.cali_switch.imu_propeller_cali,2,2,0,8,Calibration command/status gate/health rule; not a calibration coefficient
DJI Air 3S,per_aircraft_calibration_or_bias_state,g_config.fdi_sensor[0].acc_bias,g_config.fdi_sensor[0].acc_bias,0.00122523,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3S,per_aircraft_calibration_or_bias_state,g_config.fdi_sensor[0].gyr_bias,g_config.fdi_sensor[0].gyr_bias,0.00381303,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3S,per_aircraft_calibration_or_bias_state,g_config.fdi_sensor[0].mag_over,g_config.fdi_sensor[0].mag_over,14.5211,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3S,per_aircraft_calibration_or_bias_state,g_config.fdi_sensor[0].mag_stat,g_config.fdi_sensor[0].mag_stat,5,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3S,per_aircraft_calibration_or_bias_state,g_config.fdi_sensor[1].acc_bias,g_config.fdi_sensor[1].acc_bias,0,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3S,per_aircraft_calibration_or_bias_state,g_config.fdi_sensor[1].gyr_bias,g_config.fdi_sensor[1].gyr_bias,0,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3S,per_aircraft_calibration_or_bias_state,g_config.fdi_sensor[1].mag_over,g_config.fdi_sensor[1].mag_over,0,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3S,per_aircraft_calibration_or_bias_state,g_config.fdi_sensor[1].mag_stat,g_config.fdi_sensor[1].mag_stat,1,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3S,per_aircraft_calibration_or_bias_state,g_config.fdi_sensor[2].acc_bias,g_config.fdi_sensor[2].acc_bias,0,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3S,per_aircraft_calibration_or_bias_state,g_config.fdi_sensor[2].gyr_bias,g_config.fdi_sensor[2].gyr_bias,0,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3S,per_aircraft_calibration_or_bias_state,g_config.fdi_sensor[2].mag_over,g_config.fdi_sensor[2].mag_over,0,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3S,per_aircraft_calibration_or_bias_state,g_config.fdi_sensor[2].mag_stat,g_config.fdi_sensor[2].mag_stat,1,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3S,per_aircraft_calibration_or_bias_state,g_status.all_gyr_acc.cali_cnt,g_status.all_gyr_acc.cali_cnt,0,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3S,per_aircraft_calibration_or_bias_state,g_status.all_gyr_acc.cali_state,g_status.all_gyr_acc.cali_state,0,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3S,per_aircraft_calibration_or_bias_state,g_status.all_gyr_acc.msc_current_side,g_status.all_gyr_acc.msc_current_side,0,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3S,per_aircraft_calibration_or_bias_state,g_status.all_gyr_acc.msc_sampled_side,g_status.all_gyr_acc.msc_sampled_side,0,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3S,per_aircraft_calibration_or_bias_state,g_status.all_gyr_acc.need_cali_type,g_status.all_gyr_acc.need_cali_type,0,0,0,0,"Do not copy: per-aircraft runtime/calibration state, not a model preset"
DJI Air 3S,model_sensor_geometry,gps0_x,gps0_x,65,65,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3S,model_sensor_geometry,gps0_y,gps0_y,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3S,model_sensor_geometry,gps0_z,gps0_z,-39,-39,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3S,model_sensor_geometry,gps1_x,gps1_x,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3S,model_sensor_geometry,gps1_y,gps1_y,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3S,model_sensor_geometry,gps1_z,gps1_z,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
DJI Air 3S,model_sensor_geometry,gps2_x,gps2_x,0,0,-32768,32767,"Do not copy across models; this is installation geometry, not proven per-unit calibration"
